trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4813161^+,0,164,52.40991973876953,16.902599334716797,16,1758112634,1257,164/2,#FFA500
1_4813193^+,0,164,52.38179016113281,16.860679626464844,0,1758112634,1258,164/4,#FFA500
1_4813211^+,0,164,52.38182067871094,16.860790252685547,0,1758112629,1269,164/5,#FFA500
1_4813232^+,0,164,52.390010833740234,16.873699188232422,26,1758112644,1316,164/6,#FFA500
1_4813250^+,0,164,52.408748626708984,16.901790618896484,16,1758112644,1256,164/7,#FFA500
1_4813268^+,0,164,52.4268913269043,16.90250015258789,9,1758112644,1304,164/8,#FFA500
1_4813288^+,0,164,52.452781677246094,16.864990234375,0,1758112644,1309,164/9,#FFA500
1_4813317^Z+,0,184,52.381988525390625,16.954050064086914,8,1758112639,1638,184/18,#FFA500
1_4813341^+,0,166,52.384578704833984,17.009620666503906,10,1758112639,1614,166/2,#FFA500
1_4813365^+,0,183,52.40937042236328,16.95414924621582,0,1758112644,1607,183/7,#FFA500
1_4813390^+,0,152,52.38454818725586,16.986970901489258,14,1758112639,1646,152/7,#FFA500
1_4813409^+,0,166,52.39207077026367,16.98181915283203,16,1758112644,1620,166/9,#FFA500
1_4813441^+,0,911,52.44137954711914,16.94658088684082,10,1758112634,1857,911/6,#FFA500
1_4813467^+,0,168,52.456321716308594,16.875770568847656,19,1758112634,1912,168/1,#FFA500
1_4813510^+,0,168,52.43566131591797,16.920989990234375,9,1758112629,1459,168/2,#FFA500
1_4813557^+,0,168,52.40745162963867,16.91670036315918,2,1758112644,1317,168/3,#FFA500
1_4813603^+,0,168,52.43307113647461,16.92030906677246,13,1758112639,1666,168/6,#FFA500
1_4813617^+,0,168,52.44942855834961,16.893640518188477,6,1758112644,1481,168/7,#FFA500
1_4813638^+,0,169,52.433570861816406,16.937719345092773,21,1758112644,1451,169/1,#FFA500
1_4813669^+,0,169,52.45193862915039,16.934200286865234,27,1758112639,1478,169/11,#FFA500
1_4813688^+,0,169,52.40932846069336,16.918109893798828,14,1758112644,1637,169/2,#FFA500
1_4813705^+,0,169,52.4044189453125,16.87755012512207,7,1758112634,1458,169/3,#FFA500
1_4813725^+,0,169,52.384029388427734,16.861940383911133,0,1758112629,1454,169/4,#FFA500
